hospital_id,service_code,service_name,unit,category_name,payer_type,price,currency,effective_from,effective_to,notes,status
1,MCA7,Siêu âm tuyến vú hai bên,Lần,SIÊU ÂM,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,MCA7,Siêu âm tuyến vú hai bên,Lần,SIÊU ÂM,BHYT,58600,VND,2024-01-01,,,1
1,MCD0,"Siêu âm thai (thai, nhau thai, nước ối)",Lần,SIÊU ÂM,TU_CHI_TRA,200000,VND,2024-01-01,,,1
1,MCD0,"Siêu âm thai (thai, nhau thai, nước ối)",Lần,SIÊU ÂM,BHYT,58600,VND,2024-01-01,,,1
1,MCF8,"Siêu âm Doppler thai nhi (thai, nhau thai, dây rốn, động mạch tử cung) (song thai trở lên)",Lần,SIÊU ÂM,TU_CHI_TRA,600000,VND,2024-01-01,,,1
1,MCF8,"Siêu âm Doppler thai nhi (thai, nhau thai, dây rốn, động mạch tử cung) (song thai trở lên)",Lần,SIÊU ÂM,BHYT,89300,VND,2024-01-01,,,1
1,MD18,Siêu âm Doppler tim thai (sàng lọc),Lần,SIÊU ÂM TIM,TU_CHI_TRA,350000,VND,2024-01-01,,,1
1,MD18,Siêu âm Doppler tim thai (sàng lọc),Lần,SIÊU ÂM TIM,BHYT,252300,VND,2024-01-01,,,1
1,MD19,Siêu âm Doppler tim thai (song thai trở lên) (sàng lọc),Lần,SIÊU ÂM TIM,TU_CHI_TRA,450000,VND,2024-01-01,,,1
1,MD19,Siêu âm Doppler tim thai (song thai trở lên) (sàng lọc),Lần,SIÊU ÂM TIM,BHYT,252300,VND,2024-01-01,,,1
1,MD08,Siêu âm Doppler tim,Lần,SIÊU ÂM TIM,TU_CHI_TRA,280000,VND,2024-01-01,,,1
1,MD08,Siêu âm Doppler tim,Lần,SIÊU ÂM TIM,BHYT,252300,VND,2024-01-01,,,1
1,MAA4,Chụp X-quang bàn chân nghiêng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,100000,VND,2024-01-01,,,1
1,MAA4,Chụp X-quang bàn chân nghiêng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAA5,Chụp X-quang bàn chân thẳng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,100000,VND,2024-01-01,,,1
1,MAA5,Chụp X-quang bàn chân thẳng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAA6,Chụp X-quang bàn chân thẳng-nghiêng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,130000,VND,2024-01-01,,,1
1,MAA6,Chụp X-quang bàn chân thẳng-nghiêng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAB0,Chụp X-quang bản lề chẩm-cổ (C1-C2) T-N số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,100000,VND,2024-01-01,,,1
1,MAB0,Chụp X-quang bản lề chẩm-cổ (C1-C2) T-N số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAC7,Chụp X-quang Cẳng chân thẳng và nghiêng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,130000,VND,2024-01-01,,,1
1,MAC7,Chụp X-quang Cẳng chân thẳng và nghiêng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAD1,Chụp X-quang Cổ chân thẳng-nghiêng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,130000,VND,2024-01-01,,,1
1,MAD1,Chụp X-quang Cổ chân thẳng-nghiêng số hóa 1 phim,Lần,X-QUANG,BHYT,73300,VND,2024-01-01,,,1
1,MAD5,Chụp X-quang Cổ tay thẳng-nghiêng số hóa 1 phim,Lần,X-QUANG,TU_CHI_TRA,130000,VND,2024-01-01,,,1
